run,frame_id,elapsed_s,timestamp_ns,image,label,confidence,supported,class_and_score_pass,bounds,tracking
NaVi-collect-20260919-022341-193-a2b8792d,406,82.785,357179467325324,images/406.png,cat,0.5234375,False,False,"[0.275, 0.0046875, 1, 0.99375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,407,82.972,357179668150115,images/407.png,cat,0.36328125,False,False,"[0.0125, 0, 0.98125, 0.9890625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,428,87.192,357183881100290,images/428.png,car,0.453125,True,False,"[0, 0, 0.18125, 0.0734375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,439,89.384,357186089786388,images/439.png,person,0.40625,True,False,"[0.53541666, 0, 0.6041667, 0.0671875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,442,90.023,357186723388219,images/442.png,car,0.36328125,True,False,"[0, 0.140625, 0.21041666, 0.3078125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,452,92.13,357188827436497,images/452.png,car,0.63671875,True,True,"[0.62708336, 0.3234375, 0.75416666, 0.4203125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,455,92.772,357189494012292,images/455.png,car,0.38671875,True,False,"[0.50208336, 0.3484375, 0.60625, 0.4421875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,457,93.236,357189927395106,images/457.png,car,0.38671875,True,False,"[0.575, 0.3453125, 0.7395833, 0.4234375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,458,93.466,357190160645810,images/458.png,car,0.40625,True,False,"[0.5854167, 0.33125, 0.69375, 0.40625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,459,93.7,357190393784856,images/459.png,car,0.5,True,False,"[0.48958334, 0.3296875, 0.62291664, 0.409375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,459,93.7,357190393784856,images/459.png,car,0.4765625,True,False,"[0.62083334, 0.328125, 0.69375, 0.4]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,460,93.926,357190627089300,images/460.png,car,0.38671875,True,False,"[0.40625, 0.3078125, 0.56458336, 0.403125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,460,93.926,357190627089300,images/460.png,car,0.36328125,True,False,"[0.64166665, 0.303125, 0.7291667, 0.403125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,463,94.552,357191260452235,images/463.png,car,0.36328125,True,False,"[0.47083333, 0.24375, 0.625, 0.34375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,464,94.768,357191460572071,images/464.png,car,0.4765625,True,False,"[0.43541667, 0.234375, 0.62291664, 0.33125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,465,94.983,357191693776908,images/465.png,car,0.453125,True,False,"[0.38958332, 0.2203125, 0.58125, 0.3234375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,469,95.853,357192560406378,images/469.png,car,0.40625,True,False,"[0.21041666, 0.2, 0.31041667, 0.2796875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,470,96.066,357192760476239,images/470.png,car,0.5703125,True,False,"[0.00625, 0.1671875, 0.34166667, 0.3375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,473,96.718,357193427114602,images/473.png,car,0.5,True,False,"[0, 0.1640625, 0.125, 0.375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,475,97.175,357193860695382,images/475.png,car,0.38671875,True,False,"[0, 0.1578125, 0.12708333, 0.4]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,476,97.358,357194060866352,images/476.png,car,0.6796875,True,True,"[0, 0.24375, 0.27083334, 0.4109375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,477,97.553,357194261112616,images/477.png,car,0.36328125,True,False,"[0.1625, 0.2296875, 0.40416667, 0.353125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,479,98.012,357194727431443,images/479.png,car,0.61328125,True,True,"[0.62291664, 0, 0.9916667, 0.228125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,481,98.48,357195193700983,images/481.png,car,0.36328125,True,False,"[0, 0.1421875, 0.21875, 0.459375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,487,99.779,357196493774186,images/487.png,car,0.4296875,True,False,"[0.8666667, 0.0515625, 0.99583334, 0.3453125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,494,101.294,357197993988016,images/494.png,car,0.36328125,True,False,"[0.89166665, 0.2265625, 0.99583334, 0.4140625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,495,101.526,357198227304220,images/495.png,car,0.4296875,True,False,"[0.725, 0.1625, 0.99583334, 0.3953125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,496,101.743,357198427312318,images/496.png,person,0.4296875,True,False,"[0.01875, 0.0578125, 0.325, 0.9390625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,507,104.075,357200794148161,images/507.png,car,0.38671875,True,False,"[0.62916666, 0.21875, 0.9916667, 0.3625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,509,104.546,357201260688598,images/509.png,person,0.63671875,True,True,"[0, 0, 0.26666668, 0.896875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,509,104.546,357201260688598,images/509.png,car,0.5234375,True,False,"[0.48958334, 0.15, 0.79375, 0.3421875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,509,104.546,357201260688598,images/509.png,car,0.453125,True,False,"[0.8666667, 0.16875, 0.99375, 0.3046875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,509,104.546,357201260688598,images/509.png,car,0.40625,True,False,"[0.6791667, 0.125, 0.93958336, 0.3140625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,511,104.993,357201694204025,images/511.png,car,0.63671875,True,True,"[0.21875, 0.1578125, 0.58125, 0.3578125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,512,105.228,357201927469488,images/512.png,car,0.5,True,False,"[0.0125, 0.1078125, 0.25416666, 0.3109375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,512,105.228,357201927469488,images/512.png,car,0.4296875,True,False,"[0, 0.1453125, 0.08541667, 0.3265625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,513,105.463,357202160583816,images/513.png,car,0.4296875,True,False,"[0.0020833334, 0.140625, 0.23541667, 0.3515625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,514,105.653,357202360701796,images/514.png,car,0.40625,True,False,"[0.035416666, 0.35, 0.18541667, 0.5015625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,517,106.308,357202994183778,images/517.png,car,0.4765625,True,False,"[0.12916666, 0.34375, 0.31666666, 0.496875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,517,106.308,357202994183778,images/517.png,car,0.36328125,True,False,"[0.28541666, 0.328125, 0.41458333, 0.4171875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,518,106.486,357203194258196,images/518.png,car,0.38671875,True,False,"[0.24791667, 0.296875, 0.40625, 0.3875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,522,107.396,357204093772309,images/522.png,car,0.40625,True,False,"[0.12083333, 0.290625, 0.37291667, 0.4578125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,523,107.621,357204327085413,images/523.png,car,0.4765625,True,False,"[0.039583333, 0.31875, 0.32708332, 0.5390625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,523,107.621,357204327085413,images/523.png,car,0.453125,True,False,"[0.25416666, 0.3203125, 0.425, 0.43125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,524,107.852,357204560194072,images/524.png,car,0.36328125,True,False,"[0.15416667, 0.303125, 0.26875, 0.36875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,531,109.357,357206056165492,images/531.png,car,0.38671875,True,False,"[0.004166667, 0.15625, 0.20833333, 0.4390625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,543,111.795,357208491954065,images/543.png,car,0.38671875,True,False,"[0, 0.0984375, 0.22916667, 0.403125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,545,112.189,357208893439311,images/545.png,car,0.59375,True,False,"[0, 0.184375, 0.22291666, 0.471875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,546,112.399,357209094129035,images/546.png,car,0.59375,True,False,"[0.0020833334, 0.175, 0.21666667, 0.4734375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,547,112.596,357209294892068,images/547.png,car,0.38671875,True,False,"[0, 0.1296875, 0.1875, 0.553125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,549,112.99,357209695400537,images/549.png,car,0.36328125,True,False,"[0, 0.165625, 0.125, 0.4703125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,566,116.422,357213105540981,images/566.png,umbrella,0.38671875,False,False,"[0.004166667, 0.3515625, 0.99375, 0.9859375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,570,117.22,357213907858227,images/570.png,bench,0.40625,False,False,"[0.13958333, 0.3734375, 0.29166666, 0.54375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,576,118.426,357215111947639,images/576.png,bench,0.38671875,False,False,"[0.09375, 0.196875, 0.33541667, 0.453125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,580,119.213,357215915244224,images/580.png,car,0.38671875,True,False,"[0.2875, 0.28125, 0.425, 0.3921875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,581,119.43,357216115946704,images/581.png,cat,0.4296875,False,False,"[0.04375, 0.3390625, 0.99583334, 0.9984375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,584,120.04,357216717559393,images/584.png,bench,0.5,False,False,"[0, 0.35, 0.26666668, 0.64375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,588,120.819,357217520295222,images/588.png,umbrella,0.40625,False,False,"[0.0020833334, 0.4109375, 0.8, 0.9875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,589,121.028,357217720931252,images/589.png,umbrella,0.5,False,False,"[0.010416667, 0.4828125, 0.94375, 0.996875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,590,121.222,357217921088568,images/590.png,umbrella,0.63671875,False,False,"[0.004166667, 0.4671875, 0.99375, 0.990625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,593,121.833,357218522511158,images/593.png,car,0.40625,True,False,"[0, 0.2328125, 0.12083333, 0.3484375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,594,122.028,357218722800454,images/594.png,car,0.40625,True,False,"[0.114583336, 0.290625, 0.2375, 0.4046875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,594,122.028,357218722800454,images/594.png,car,0.40625,True,False,"[0.025, 0.278125, 0.21666667, 0.478125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,596,122.442,357219124174838,images/596.png,umbrella,0.5,False,False,"[0.0020833334, 0.3609375, 0.95416665, 0.9953125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,599,123.042,357219726837693,images/599.png,umbrella,0.69921875,False,False,"[0.004166667, 0.4046875, 0.99375, 0.9921875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,600,123.232,357219927536052,images/600.png,umbrella,0.38671875,False,False,"[0.0125, 0.471875, 0.98333335, 0.9859375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,601,123.43,357220128145162,images/601.png,umbrella,0.38671875,False,False,"[0.0020833334, 0.2890625, 0.95416665, 0.9875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,610,125.222,357221933579301,images/610.png,person,0.38671875,True,False,"[0.19583334, 0.2921875, 0.25833333, 0.425]",TRACKING
